X;O;.;.;.;.;1X;O;.;.;.;.;.;.;.;.;.;.;.;.;X;O;.;X;O
O;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
.;.;O;.;.;1X;O;.;.;X;O;.;.;.;.;.;.;X;O;.;.;.;.;.;.
.;.;.;O;.;.;.;X;O;.;.;.;.;.;.;X;X;O;.;.;.;.;.;.;.
.;.;.;X;O;.;.;X;2X;O;.;.;.;.;.;X;O;.;.;.;.;.;.;X;0X
.;.;.;O;.;.;.;.;.;.;.;.;.;X;O;X;.;.;.;O;.;.;.;.;.
.;.;.;.;.;O;.;.;X;.;.;O;X;O;.;X;.;.;.;.;X;.;X;O;.
.;.;.;.;.;.;X;O;.;.;X;.;O;.;X;O;.;X;.;.;O;X;O;.;.
.;.;X;.;.;.;O;X;O;X;O;.;.;.;.;.;.;X;.;.;.;O;.;.;.
.;.;X;.;.;.;.;O;.;.;.;.;.;X;O;.;.;.;.;.;.;X;.;.;O
.;.;O;.;X;X;.;1X;.;O;.;X;.;X;.;.;.;X;.;.;.;O;.;.;.
.;.;.;.;O;.;.;.;.;1X;.;O;.;.;X;X;.;O;.;.;.;.;.;.;.
.;.;.;.;.;X;.;O;.;.;.;.;.;.;.;0X;.;.;.;.;.;.;.;.;.
X;.;.;.;.;O;.;X;.;O;X;.;.;O;.;.;.;.;.;.;.;.;.;.;.
X;.;.;.;.;.;.;O;.;X;0X;X;.;.;O;.;.;.;.;.;.;.;.;.;.
O;.;.;.;.;.;.;X;.;O;.;.;.;.;.;.;.;.;X;.;.;.;.;.;X
.;.;.;.;.;.;.;O;.;.;.;.;.;X;.;O;X;.;O;.;.;.;.;.;.
.;.;.;.;.;.;.;.;1X;.;O;.;.;.;.;.;.;.;.;X;.;.;.;.;O
.;.;.;.;.;.;1X;.;O;.;.;.;.;.;X;.;O;.;.;X;.;.;.;1X;.
.;.;1X;.;.;.;O;X;X;.;.;O;.;.;.;.;.;.;.;.;.;.;X;O;.
.;.;O;.;.;X;.;O;.;.;.;.;.;.;.;.;.;.;X;X;.;.;O;X;.
.;.;.;.;.;O;.;.;X;.;.;.;.;O;.;.;.;.;.;X;.;.;X;O;.
.;.;.;.;.;.;.;.;O;.;.;X;0X;.;X;.;.;.;X;X;.;.;X;.;X
.;.;.;X;.;.;.;X;.;.;.;O;.;1X;O;.;.;.;.;.;.;.;.;.;.
.;.;.;O;.;0X;.;O;X;.;.;.;O;.;.;.;.;.;1X;O;.;.;.;1X;O
hard;25;0;0;;;;;;;;;;;;;;;;;;;;;
